Date,Consensual,Disturbance,Other,Property,Violent,White-Collar
2015-11-26,31.0,7.0,31.0,303.0,195.0,20.0
2015-11-27,39.0,4.0,34.0,350.0,144.0,40.0
2015-11-28,51.0,12.0,32.0,343.0,182.0,37.0
2015-11-29,52.0,8.0,36.0,322.0,169.0,24.0
2015-11-30,64.0,7.0,60.0,351.0,140.0,43.0
2015-12-01,78.0,7.0,55.0,336.0,199.0,93.0
2015-12-02,82.0,9.0,40.0,383.0,157.0,41.0
2015-12-03,66.0,6.0,50.0,362.0,174.0,51.0
2015-12-04,68.0,9.0,47.0,363.0,168.0,46.0
2015-12-05,64.0,6.0,39.0,350.0,203.0,45.0
2015-12-06,57.0,9.0,42.0,371.0,177.0,31.0
2015-12-07,48.0,11.0,44.0,385.0,156.0,44.0
2015-12-08,70.0,8.0,55.0,377.0,171.0,47.0
2015-12-09,43.0,9.0,46.0,376.0,168.0,43.0
2015-12-10,52.0,5.0,48.0,370.0,172.0,42.0
2015-12-11,53.0,13.0,30.0,427.0,179.0,40.0
2015-12-12,60.0,10.0,42.0,381.0,216.0,45.0
2015-12-13,37.0,5.0,27.0,365.0,199.0,17.0
2015-12-14,42.0,9.0,45.0,418.0,179.0,45.0
2015-12-15,69.0,13.0,41.0,436.0,175.0,57.0
2015-12-16,57.0,9.0,46.0,393.0,166.0,51.0
2015-12-17,52.0,7.0,44.0,408.0,155.0,61.0
2015-12-18,51.0,7.0,38.0,346.0,166.0,43.0
2015-12-19,51.0,7.0,36.0,359.0,168.0,45.0
2015-12-20,55.0,7.0,50.0,354.0,192.0,34.0
2015-12-21,39.0,4.0,38.0,352.0,158.0,58.0
2015-12-22,44.0,4.0,45.0,408.0,152.0,40.0
2015-12-23,40.0,6.0,42.0,463.0,156.0,45.0
2015-12-24,13.0,6.0,31.0,380.0,196.0,47.0
2015-12-25,12.0,3.0,29.0,250.0,190.0,14.0
2015-12-26,48.0,6.0,46.0,326.0,186.0,25.0
2015-12-27,44.0,6.0,36.0,346.0,173.0,21.0
2015-12-28,22.0,10.0,38.0,288.0,128.0,28.0
2015-12-29,55.0,5.0,42.0,330.0,144.0,44.0
2015-12-30,45.0,5.0,43.0,289.0,175.0,45.0
2015-12-31,28.0,7.0,37.0,318.0,154.0,64.0
2016-01-01,28.0,8.0,66.0,317.0,448.0,154.0
2016-01-02,34.0,7.0,41.0,301.0,147.0,43.0
2016-01-03,34.0,2.0,39.0,341.0,172.0,29.0
2016-01-04,28.0,4.0,34.0,353.0,155.0,51.0
2016-01-05,45.0,1.0,42.0,314.0,167.0,54.0
2016-01-06,39.0,2.0,52.0,321.0,158.0,54.0
2016-01-07,58.0,5.0,41.0,369.0,178.0,55.0
2016-01-08,59.0,10.0,47.0,398.0,180.0,48.0
2016-01-09,48.0,4.0,42.0,329.0,191.0,35.0
2016-01-10,39.0,4.0,53.0,289.0,170.0,38.0
2016-01-11,18.0,3.0,32.0,280.0,134.0,45.0
2016-01-12,39.0,5.0,35.0,297.0,128.0,43.0
2016-01-13,46.0,7.0,52.0,347.0,147.0,52.0
2016-01-14,58.0,6.0,45.0,366.0,204.0,53.0
2016-01-15,54.0,6.0,44.0,375.0,199.0,54.0
2016-01-16,48.0,5.0,45.0,330.0,176.0,44.0
2016-01-17,34.0,1.0,40.0,250.0,180.0,31.0
2016-01-18,39.0,2.0,41.0,278.0,118.0,33.0
2016-01-19,39.0,6.0,46.0,333.0,134.0,51.0
2016-01-20,39.0,9.0,31.0,333.0,156.0,50.0
2016-01-21,36.0,8.0,47.0,350.0,151.0,36.0
2016-01-22,69.0,10.0,34.0,389.0,155.0,42.0
2016-01-23,56.0,4.0,43.0,390.0,183.0,43.0
2016-01-24,42.0,3.0,50.0,373.0,181.0,23.0
2016-01-25,41.0,7.0,49.0,385.0,206.0,53.0
2016-01-26,49.0,8.0,52.0,313.0,157.0,60.0
2016-01-27,45.0,5.0,31.0,356.0,165.0,67.0
2016-01-28,130.0,6.0,44.0,355.0,166.0,49.0
2016-01-29,53.0,8.0,42.0,421.0,165.0,56.0
2016-01-30,50.0,10.0,39.0,374.0,218.0,50.0
2016-01-31,37.0,3.0,45.0,342.0,214.0,23.0
2016-02-01,56.0,7.0,67.0,385.0,199.0,115.0
2016-02-02,45.0,8.0,38.0,292.0,156.0,71.0
2016-02-03,56.0,8.0,59.0,330.0,170.0,53.0
2016-02-04,70.0,5.0,46.0,310.0,190.0,47.0
2016-02-05,53.0,6.0,49.0,337.0,165.0,48.0
2016-02-06,61.0,9.0,41.0,325.0,194.0,65.0
2016-02-07,36.0,3.0,59.0,308.0,184.0,25.0
2016-02-08,38.0,10.0,41.0,286.0,148.0,45.0
2016-02-09,41.0,4.0,45.0,252.0,154.0,48.0
2016-02-10,59.0,3.0,53.0,242.0,149.0,59.0
2016-02-11,54.0,1.0,49.0,281.0,148.0,48.0
2016-02-12,82.0,5.0,41.0,302.0,148.0,64.0
2016-02-13,61.0,5.0,36.0,295.0,160.0,39.0
2016-02-14,36.0,4.0,36.0,242.0,169.0,26.0
2016-02-15,55.0,8.0,40.0,245.0,154.0,49.0
2016-02-16,44.0,3.0,32.0,317.0,176.0,52.0
2016-02-17,54.0,6.0,44.0,287.0,190.0,57.0
2016-02-18,52.0,9.0,47.0,359.0,169.0,42.0
2016-02-19,82.0,5.0,53.0,408.0,173.0,49.0
2016-02-20,61.0,3.0,39.0,317.0,229.0,51.0
2016-02-21,60.0,7.0,41.0,331.0,240.0,27.0
2016-02-22,54.0,6.0,37.0,312.0,181.0,48.0
2016-02-23,43.0,7.0,49.0,304.0,177.0,50.0
2016-02-24,40.0,3.0,50.0,274.0,168.0,43.0
2016-02-25,107.0,4.0,50.0,305.0,172.0,58.0
2016-02-26,65.0,7.0,47.0,345.0,210.0,63.0
2016-02-27,54.0,5.0,37.0,341.0,197.0,55.0
2016-02-28,45.0,6.0,41.0,298.0,200.0,30.0
2016-02-29,41.0,9.0,55.0,311.0,185.0,44.0
2016-03-01,62.0,8.0,79.0,334.0,190.0,121.0
2016-03-02,69.0,9.0,47.0,281.0,162.0,38.0
2016-03-03,68.0,5.0,42.0,298.0,145.0,55.0
2016-03-04,77.0,7.0,45.0,347.0,176.0,49.0
2016-03-05,48.0,6.0,45.0,359.0,200.0,38.0
2016-03-06,60.0,11.0,56.0,344.0,201.0,42.0
2016-03-07,77.0,8.0,52.0,373.0,209.0,73.0
2016-03-08,46.0,14.0,63.0,349.0,209.0,40.0
2016-03-09,69.0,9.0,56.0,260.0,232.0,49.0
2016-03-10,65.0,6.0,55.0,358.0,179.0,47.0
2016-03-11,71.0,9.0,53.0,341.0,209.0,48.0
2016-03-12,49.0,5.0,57.0,360.0,241.0,31.0
2016-03-13,46.0,2.0,35.0,295.0,210.0,38.0
2016-03-14,51.0,6.0,46.0,324.0,193.0,62.0
2016-03-15,62.0,8.0,52.0,324.0,207.0,57.0
2016-03-16,65.0,12.0,51.0,334.0,223.0,58.0
2016-03-17,61.0,6.0,49.0,362.0,208.0,50.0
2016-03-18,77.0,16.0,44.0,376.0,218.0,58.0
2016-03-19,68.0,8.0,32.0,348.0,195.0,46.0
2016-03-20,51.0,4.0,51.0,321.0,221.0,35.0
2016-03-21,50.0,9.0,67.0,313.0,199.0,59.0
