Date,Temp (F) avg,Event,Consensual,Disturbance,Property,Violent,White Collar,Total
2015-10-03,75,Clear,5.0,20.0,397.0,212.0,18.0,652.0
2015-10-04,68,Rain,6.0,14.0,301.0,202.0,9.0,532.0
2015-10-05,69,"Fog , Rain",8.0,22.0,401.0,140.0,13.0,584.0
2015-10-06,70,Clear,3.0,17.0,343.0,159.0,21.0,543.0
2015-10-07,74,Clear,4.0,25.0,350.0,160.0,23.0,562.0
2015-10-08,77,Clear,5.0,16.0,387.0,192.0,16.0,616.0
2015-10-09,84,Clear,7.0,19.0,410.0,179.0,12.0,627.0
2015-10-10,86,Clear,2.0,17.0,400.0,211.0,15.0,645.0
2015-10-11,87,Clear,4.0,12.0,351.0,213.0,7.0,587.0
2015-10-12,83,Clear,5.0,16.0,374.0,184.0,18.0,597.0
2015-10-13,83,Clear,5.0,11.0,361.0,183.0,16.0,576.0
2015-10-14,79,Clear,8.0,23.0,383.0,161.0,16.0,591.0
2015-10-15,77,Clear,6.0,27.0,490.0,190.0,13.0,726.0
2015-10-16,73,Clear,5.0,16.0,491.0,171.0,13.0,696.0
2015-10-17,76,Clear,8.0,18.0,411.0,223.0,10.0,670.0
2015-10-18,74,Rain,1.0,19.0,354.0,185.0,10.0,569.0
2015-10-19,72,Clear,3.0,16.0,394.0,159.0,13.0,585.0
2015-10-20,71,Clear,4.0,11.0,434.0,173.0,12.0,634.0
2015-10-21,74,Clear,5.0,12.0,400.0,124.0,11.0,552.0
2015-10-22,73,Clear,7.0,12.0,343.0,160.0,10.0,532.0
2015-10-23,71,Clear,4.0,21.0,416.0,162.0,18.0,621.0
2015-10-24,77,Clear,6.0,18.0,339.0,193.0,7.0,563.0
2015-10-25,76,Clear,5.0,21.0,359.0,205.0,15.0,605.0
2015-10-26,75,Clear,4.0,14.0,408.0,136.0,14.0,576.0
2015-10-27,72,Clear,1.0,18.0,399.0,162.0,16.0,596.0
2015-10-28,73,Clear,5.0,25.0,394.0,157.0,17.0,598.0
2015-10-29,76,Clear,6.0,20.0,383.0,146.0,15.0,570.0
2015-10-30,76,Clear,4.0,25.0,414.0,150.0,9.0,602.0
2015-10-31,75,Clear,9.0,19.0,472.0,223.0,10.0,733.0
2015-11-01,73,Clear,5.0,37.0,546.0,283.0,27.0,898.0
2015-11-02,67,Rain,3.0,14.0,364.0,144.0,21.0,546.0
2015-11-03,62,Clear,,10.0,375.0,113.0,12.0,
2015-11-04,60,Clear,6.0,15.0,330.0,154.0,20.0,525.0
2015-11-05,61,Clear,5.0,18.0,350.0,130.0,17.0,520.0
2015-11-06,64,Clear,7.0,13.0,408.0,150.0,11.0,589.0
2015-11-07,65,Clear,2.0,18.0,360.0,141.0,7.0,528.0
2015-11-08,65,Clear,2.0,22.0,322.0,172.0,12.0,530.0
2015-11-09,62,Clear,7.0,10.0,416.0,117.0,18.0,568.0
2015-11-10,59,Clear,,15.0,374.0,112.0,16.0,
2015-11-11,60,Clear,2.0,16.0,349.0,112.0,12.0,491.0
2015-11-12,64,Clear,6.0,16.0,372.0,134.0,15.0,543.0
2015-11-13,66,Clear,8.0,14.0,435.0,130.0,19.0,606.0
2015-11-14,65,Clear,3.0,17.0,399.0,147.0,13.0,579.0
2015-11-15,60,Clear,4.0,14.0,418.0,200.0,12.0,648.0
2015-11-16,57,Clear,6.0,16.0,384.0,170.0,23.0,599.0
2015-11-17,59,Clear,4.0,21.0,375.0,126.0,18.0,544.0
2015-11-18,62,Clear,4.0,17.0,370.0,174.0,16.0,581.0
2015-11-19,69,Clear,8.0,14.0,368.0,159.0,11.0,560.0
2015-11-20,70,Clear,5.0,17.0,466.0,148.0,18.0,654.0
2015-11-21,72,Clear,4.0,13.0,403.0,162.0,7.0,589.0
2015-11-22,72,Clear,7.0,17.0,386.0,181.0,13.0,604.0
2015-11-23,68,Clear,4.0,15.0,418.0,140.0,23.0,600.0
2015-11-24,61,Rain,5.0,20.0,377.0,147.0,14.0,563.0
2015-11-25,57,Clear,5.0,6.0,439.0,146.0,15.0,611.0
2015-11-26,56,Clear,1.0,14.0,284.0,126.0,4.0,429.0
2015-11-27,57,Clear,4.0,11.0,340.0,140.0,16.0,511.0
2015-11-28,55,Clear,,14.0,391.0,159.0,8.0,
2015-11-29,59,Clear,7.0,16.0,338.0,173.0,7.0,541.0
2015-11-30,56,Clear,4.0,17.0,399.0,135.0,14.0,569.0
2015-12-01,60,Clear,4.0,29.0,533.0,208.0,30.0,804.0
2015-12-02,64,Clear,5.0,31.0,347.0,140.0,15.0,538.0
2015-12-03,66,Clear,1.0,21.0,390.0,137.0,16.0,565.0
2015-12-04,59,Clear,,19.0,427.0,158.0,13.0,
2015-12-05,63,Clear,6.0,15.0,373.0,160.0,13.0,567.0
2015-12-06,67,Clear,4.0,17.0,399.0,167.0,7.0,594.0
2015-12-07,68,Clear,1.0,18.0,373.0,140.0,16.0,548.0
2015-12-08,69,Clear,3.0,17.0,361.0,148.0,9.0,538.0
2015-12-09,65,Clear,2.0,24.0,383.0,183.0,19.0,611.0
2015-12-10,60,Fog,4.0,21.0,377.0,159.0,21.0,582.0
2015-12-11,59,Rain,2.0,15.0,439.0,151.0,13.0,620.0
2015-12-12,60,Clear,5.0,9.0,389.0,165.0,11.0,579.0
2015-12-13,57,Rain,3.0,21.0,388.0,182.0,8.0,602.0
2015-12-14,53,Clear,3.0,15.0,364.0,145.0,16.0,543.0
2015-12-15,52,Clear,3.0,22.0,491.0,150.0,21.0,687.0
2015-12-16,51,Clear,9.0,15.0,386.0,129.0,15.0,554.0
2015-12-17,54,Clear,5.0,11.0,346.0,139.0,15.0,516.0
2015-12-18,60,Clear,2.0,13.0,410.0,149.0,22.0,596.0
2015-12-19,55,Rain,1.0,19.0,383.0,171.0,12.0,586.0
2015-12-20,53,Clear,3.0,14.0,410.0,163.0,12.0,602.0
2015-12-21,53,Rain,5.0,13.0,443.0,143.0,14.0,618.0
2015-12-22,58,Rain,3.0,9.0,411.0,128.0,16.0,567.0
2015-12-23,60,Clear,3.0,16.0,451.0,135.0,16.0,621.0
2015-12-24,55,Clear,6.0,13.0,418.0,171.0,13.0,621.0
2015-12-25,52,Clear,8.0,16.0,266.0,166.0,3.0,459.0
2015-12-26,52,Clear,10.0,13.0,343.0,134.0,7.0,507.0
2015-12-27,49,Clear,4.0,17.0,319.0,152.0,7.0,499.0
2015-12-28,48,Clear,3.0,11.0,364.0,135.0,28.0,541.0
2015-12-29,51,Clear,4.0,10.0,362.0,125.0,11.0,512.0
2015-12-30,52,Clear,1.0,8.0,388.0,135.0,13.0,545.0
2015-12-31,53,Clear,8.0,11.0,431.0,150.0,20.0,620.0
2016-01-01,54,Clear,8.0,44.0,707.0,375.0,28.0,1162.0
2016-01-02,56,Clear,4.0,9.0,365.0,137.0,13.0,528.0
2016-01-03,53,Clear,1.0,9.0,316.0,167.0,8.0,501.0
2016-01-04,62,Rain,2.0,15.0,387.0,133.0,22.0,559.0
2016-01-05,54,"Fog , Rain",1.0,16.0,428.0,147.0,20.0,612.0
2016-01-06,52,Rain,2.0,10.0,356.0,110.0,17.0,495.0
2016-01-07,52,Rain,10.0,16.0,376.0,139.0,14.0,555.0
2016-01-08,53,Clear,7.0,18.0,416.0,136.0,15.0,592.0
