Date,Consensual,Disturbance,Other,Property,Violent,White-Collar,Total,Temp (F) avg,Event
2015-09-24,81,11.0,37,357,190,38,714.0,66,Clear
2015-09-25,91,9.0,54,387,216,50,807.0,67,Clear
2015-09-26,69,12.0,45,394,241,30,791.0,68,Clear
2015-09-27,90,12.0,43,373,256,26,800.0,68,Clear
2015-09-28,81,10.0,44,375,202,39,751.0,71,Clear
2015-09-29,70,10.0,48,332,164,43,667.0,62,Rain
2015-09-30,86,10.0,46,353,143,37,675.0,57,Clear
2015-10-01,99,8.0,74,393,190,100,864.0,56,Clear
2015-10-02,115,13.0,51,380,181,53,793.0,56,Clear
2015-10-03,76,13.0,50,373,161,34,707.0,51,Rain
2015-10-04,74,9.0,45,316,187,22,653.0,54,Clear
2015-10-05,92,16.0,52,340,188,62,750.0,58,Clear
2015-10-06,102,9.0,66,348,187,38,750.0,63,Clear
2015-10-07,83,10.0,49,338,193,44,717.0,63,Clear
2015-10-08,75,8.0,45,333,202,37,700.0,64,Rain
2015-10-09,114,14.0,52,378,182,53,793.0,56,Clear
2015-10-10,69,13.0,48,369,188,40,727.0,54,Clear
2015-10-11,57,10.0,49,344,256,19,735.0,65,Clear
2015-10-12,67,11.0,54,359,199,38,728.0,64,Clear
2015-10-13,69,12.0,50,364,204,41,740.0,55,Clear
2015-10-14,90,9.0,46,387,183,49,764.0,53,Clear
2015-10-15,93,11.0,58,407,177,62,808.0,58,Rain
2015-10-16,86,10.0,47,364,179,47,733.0,46,Clear
2015-10-17,71,10.0,37,369,194,25,706.0,43,Clear
2015-10-18,66,11.0,42,322,210,24,675.0,47,Clear
2015-10-19,66,14.0,48,425,197,38,788.0,60,Clear
2015-10-20,102,9.0,42,402,172,57,784.0,66,Rain
2015-10-21,90,10.0,48,410,194,41,793.0,64,Rain
2015-10-22,96,13.0,68,365,188,43,773.0,57,Clear
2015-10-23,102,13.0,45,373,194,49,776.0,58,Rain
2015-10-24,66,5.0,35,386,234,37,763.0,56,Rain
2015-10-25,75,10.0,32,364,224,23,728.0,52,Clear
2015-10-26,58,10.0,50,406,201,55,780.0,49,Clear
2015-10-27,51,6.0,44,350,163,35,649.0,53,Rain
2015-10-28,62,11.0,59,350,155,44,681.0,47,Rain
2015-10-29,64,8.0,43,354,161,38,668.0,42,Clear
2015-10-30,110,18.0,49,374,170,53,774.0,46,Clear
2015-10-31,65,9.0,43,371,204,28,720.0,49,Rain
2015-11-01,90,10.0,66,439,286,84,975.0,54,Clear
2015-11-02,85,12.0,59,364,214,48,782.0,60,Clear
2015-11-03,67,8.0,54,367,204,50,750.0,57,Clear
2015-11-04,94,8.0,59,395,192,40,788.0,60,Fog
2015-11-05,76,9.0,44,382,199,42,752.0,65,Rain
2015-11-06,94,9.0,41,383,180,38,745.0,53,Rain
2015-11-07,82,7.0,51,334,186,31,691.0,44,Clear
2015-11-08,83,7.0,35,363,192,24,704.0,40,Clear
2015-11-09,73,11.0,49,346,165,37,681.0,43,Clear
